company,position,skill
브이디크럭스,JAVA 백엔드 개발자(3년-5년),"JAVA백엔드 개발자로서 다음의 미션을 수행하게 됩니다.

• Windows POS, KIOSK, 테이블오더, 가맹점앱 등 클라이언트와 통신하는 서버 프로그램 개발
• 매장 관리를 위한 어드민 웹 클라이언트와 통신하는 서버 프로그램 개발
• 각 솔루션에 맞는 RDBMS 설계 및 관리
• AWS 클라우드 운영 및 관리

필수 기술 요건은 다음과 같습니다.

• Java, Spring Framework(Spring Boot), JPA 기술 생태계에서 프로그래밍 경력이 3년이상 혹은 그에 준하는 역량을 가지신 분
• JPA(Hibernate)의 이해 및 경험자
• Socket 통신 이해 및 경험자
• Oracle 및 MySQL 이해 및 경험자
• 데이터베이스 모델 설계 및 쿼리 튜닝 가능자
• Git 사용 및 운영방법의 이해 및 경험자
• AWS 클라우드 기반 개발 및 운영 경험자
• 분산 시스템의 원리 및 이벤트 기반 아키텍처에 이해 및 경험자

다음의 도구를 사용하여 개발 및 소통합니다.

• Bitbucket, Github를 이용한 형상관리 및 코드리뷰
• InteliJ를 이용한 프로그래밍
• Jira를 이용한 업무프로세스 관리 및 협업
• Notion 을 이용한 개발문서 관리
• Slack 을 이용한 업무 소통


그리고...
• 다른 사람의 의견을 들을 줄 알고, 필요한 의견을 내실 줄 아는 대화를 잘 하실 수 있는 분
• 개발자로서 내가 작성한 코드 공개 및 리뷰에 대한 두려움이 적은 분 이면 더욱 좋겠습니다.

다음의 경험자를 선호합니다.
• k8s, terraform 이용하여 인프라관리 경험자
• aws 관련 자격증, 정보보안기사 자격증 소지자
• apm 사용 경험 및 이용한 시스템 최적화 경험자
• 오프라인 매장 시스템 개발 경험자
• 정보처리기사 자격증 취득 또는 컴퓨터관련학과 졸업
• 대규모 트래픽과 데이터를 다룬 경험자"
제논,Backend Engineer (전문연 지원 가능),"• 제논의 다양한 AI 서비스의 백엔드 개발 담당
• 성능과 안정성을 고려한 서버 구조 설계 및 최적화
• 테스트 코드 작성 및 소스코드 품질 관리
• 외부 인터페이스 연동 기능 개발
• 기획자, QA, 프론트엔드 개발자 등과 협업을 위해 API 스펙 개발 및 문서 작성

• 컴퓨터공학 및 관련 전공 학사 이상
• 파이썬 서버 프레임워크(FastAPI, Flask, Django)를 사용한 서버 개발 경험
• 파이썬에서 비동기 프로그래밍과 동시성 처리 역량
• RDBMS (MariaDB, PostgreSQL) 혹은 NoSQL DB 효율적인 활용 가능자
• Github, Jira 등을 통한 협업에 익숙하고, CI/CD, TDD 등 개발 프로세스 개선에 관심 보유
• 자료구조, 알고리즘, 네트워크 등 기본적인 CS 지식 보유

• LLM 기술에 대한 관심 혹은 새로운 분야에 열린 태도
• 생성형 AI를 활용한 서비스 개발 경험 보유
• Docker, Kubernetes 등 컨테이너 기술을 전문적으로 활용한 경험
• ORM(SQLAlchemy) 사용 경험
• 마이크로 서비스 기반 설계 및 개발 경험
• Linux 환경, 폐쇄망 환경에서 개발 업무 경험 보유
• 다양한 오픈소스를 활용하거나 다양한 외부 서비스와 연동 개발 경험
• 오픈소스 프로젝트, 성능 최적화 및 프로파일링 도구 사용 경험"
티맵모빌리티,Backend Engineer - 서비스백엔드,"•​ 대규모 주행 데이터를 실시간으로 처리하고 분석하는 시스템을 개발하고 운영합니다.
• 다양한 유관 팀과 협업하여 사용자 경험을 최적화하는 모빌리티 서비스의 백엔드 아키텍처 설계 및 구현을 담당합니다.
• 티맵이 보유한 다양한 데이터를 기반으로, 고객사의 요구에 맞춘 Open API를 설계하고 개발·운영합니다.
• 클라우드(AWS) 환경에서의 효율적인 대용량 트래픽 처리 어플리케이션을 개발합니다.

• Backend 개발 경력 5년 이상이거나 이에 준하는 경험을 보유하신 분
• 대용량 트래픽을 안정적으로 처리할 수 있는 실시간 아키텍처 설계 및 시스템 개발 경험이 있으신 분
• 다양한 유관 팀과의 협업 경험이 있으며, 원활한 커뮤니케이션 능력을 갖추신 분


[사용 기술] Java, Kotlin, Scala, Spring Framework, EKS, RDB, NoSQL, Kafka, Apache Flink, Airflow 등

• 대용량 트래픽을 처리하는 서비스의 설계, 개발 및 운영 경험을 보유하신 분
• AWS 기반의 클라우드 환경에서 애플리케이션을 설계, 개발, 운영한 경험이 있으신 분
• Apache Flink를 활용한 스트리밍 데이터 처리 및 운영 경험을 보유하신 분"
똑똑,백엔드 리드(시니어) 개발자,"• 백엔드 시스템 설계 및 아키텍처 개선 주도
• 팀의 기술 방향성 수립 및 코드 리뷰 리드
• 투자/조합/검색/인증 등 핵심 모듈 설계 및 구현
• 개발 프로세스 및 코드 품질 개선 주도
• 팀원들의 기술 성장을 위한 멘토링 및 기술 공유 주도

• Java/Spring Boot 기반 개발 경력 3년 이상
• RESTful API 설계 및 시스템 아키텍처링 경험
• 프로젝트 리딩 및 기술 의사결정 경험
• 코드 리뷰 주도 및 기술 멘토링 경험

• MSA 설계 및 운영 경험
• Google Cloud Platform(GCP)/AWS 활용 경험
• PostgreSQL 기반 데이터 모델링 경험
• 대용량 데이터 처리 및 성능 최적화 경험
• 테스트 자동화 및 CI/CD 파이프라인 구축 경험

[기술환경]
• Framework: Spring Boot 3.3.0
• Database: PostgreSQL
• ORM: MyBatis-Spring 3.0.3, Hibernate 6.5.0
• Documentation: Swagger (springdoc 2.2.0)
• Security: JWT
• Test: JUnit 5
• Cloud: Google Cloud Platform 

[개발문화]
• 코드 리뷰 기반의 협업
• Git-flow 기반 브랜치 전략
• 주간 기술 공유 세션"
쿠팡,[Coupang]Global Operations Technology 개발자,"• Global Operations Technology 시스템 아키텍처 설계 및 개발하여 안정적인 운영이 가능 하도록 함
• Java platform 기반의 Front/Back office 웹 서비스 개발
• 여러 도메인과 dependency를 도출하고 시스템 연동 개발
• 비즈니스 업무 개발 시 새로운 기술 도입을 검토하고 효율적인 개발 및 운영이 가능하도록 시스템 구입
• 룰 기반 최소 비용으로 빠르게 고객의 주문을 배송할 수 있는 방법을 찾기 위한 최적 알고리즘 도입

• Java 및 Spring 프레임웍을 이용한 Web Application 개발 경험하신 분
• 프로그래밍 경력 7년 이상인 분
• 웹 어플리케이션 개발, 운영 경험자로 실무 5년차 이상 또는 그에 준하는 역량 보유하신 분
• 쿠팡의 글로벌 수준의 물류 시스템과 다양한 도메인을 경험하고자 하는 분
• MSA 환경의 대규모 트래픽, 고 가용성 시스템 개발에 관심이 있는 분

• Microservices 아키텍처 기반의 시스템 개발 경험이나 이해가 있으신 분
• Cloud 환경에서의 서비스 개발 및 운영 경험이나 이해가 있으신 분
• 대용량 처리를 위한 비동기 Event Driven Architecture 경험이 있으신 분
• 코드 품질을 향상 시키기 위한 개발 경험이 있으신 분
• JPA, Hibernate등 ORM사용과 도메인 모델링 경험이 있으신 분
• E-Commerce 서비스 개발 경험이 있으신 분
• 빌드/테스트/배포 자동화 경험이 있으신 분
• NoSQL(Memcached, Redis)을 이용한 대용량 데이터 처리 경험이 있으신 분"
룩코,백엔드 엔지니어 (2~7년차),"기술 스택
• 주요 기술 : Go, Echo, Gorm
• 클라우드 : AWS, GCP
• 저장소 : Postgresql, MongoDB, DynamoDB, Elasticsearch, Redis, RabbitMQ
• 서버 인프라: AWS ECS, EC2, Batch, Lambda
• 업무 도구 : Git, Github, Slack, Jira, Docker
• 테스트, CI/CD : mockery, Github Action
• 모니터링 : Kibana, Cloudwatch, Grafana, Prometheus, Tempo, Pyroscope


업무 내용
• 에이클로젯 서비스에 대한 백엔드 시스템 개발
• 빈티지 E-Commerce 서비스 세컨솔드 시스템 운영 및 유지보수
• B2B 서비스 Looko-AI 시스템 운영 및 유지보수 
• 대규모 옷 데이터를 정제하기 위한 데이터 파이프라인 개발

• Go, Python, Java 등 1개 이상의 언어를 활용한 백엔드 개발 역량 (언어 무관)
• 쿠버네티스, 도커 등 컨테이너 환경의 개발 경험
• 2년 ~ 7년의 경력 보유자
• 일반적이지 않은 수준의 열정을 다하여 무엇인가를 성취해본 경험이 있는 분 (업무, 학업, 취미 등)
• 새로운 기술을 익히고 사용하는데 거리낌이 없는 분
• 자기 주도적인 업무 스타일과 논리적인 의사소통 능력 보유
• 해외여행에 결격사유가 없는 분
• 산업기능요원/전문연구요원 신규(보충역)/전직 가능

• Vector Search 개발 경험
• 대규모 데이터 처리 및 트래픽 처리 경험
• AWS 환경에서 인프라를 구축하고 운영해본 경험
• Node.js 환경에서 크롤러를 구축하고 운영해본 경험
• 오픈소스 컨트리뷰션 경험
• E-Commerce 개발 경험"
테크타카(ARGO),Sr.Backend Engineer (Java / Spring),"∙ 시스템 Architecture Design
∙ 유연하고 확장성 있는 시스템 디자인 & 데이터 모델링
∙ 서비스 신규개발, 유지보수 및 표준화/리펙토링(성능/효율 최적화)
∙ 대용량 트랜잭션 비동기 메시지 처리 및 High Preformence Api 제공

∙ 5년 이상의 개발 경험
∙ Java & Spring 기반 웹서비스 개발 경험
∙ Spring Framework 구조 이해 및 개발 역량
∙ RESTful API 에 대한 높은 이해와 개발 경험
∙ PostgreSql, MySQL 등의 DB 구조 설계 및 SQL 개발 역량
∙ 탄탄한 전산 기초 지식(자료구조, 알고리즘, 운영체제 (Operating Systems) 객체지향 프로그래밍(OOP) 등)
∙ 프로젝트 문제 정의 및 가설/액션/검증을 통해 논리적인 설계 경험이 있으신 분

코틀린 사용 및 개발 경험
∙ 코드 리뷰 및 페어 프로그래밍에 대한 경험
∙ 애자일 기반의 개발 조직 문화 이해와 경험
∙ Hibernate 등 DB 프레임워크 기반 개발 경험
∙ Linux 플랫폼에서 웹 서비스 개발 및 운영 경험
∙ AI Tool 기반의 개발 경험
∙ 메시지 큐 기반의 비동기 인터페이스 기반 개발 경험(RabbitMQ, Kafka)"
테크타카(ARGO),Jr.Backend Engineer (Java / Spring),"∙ 시스템 Architecture Design 
∙ 유연하고 확장성 있는 시스템 디자인 & 데이터 모델링
∙ 서비스 신규개발, 유지보수 및 표준화/리펙토링(성능/효율 최적화)
∙ 대용량 트랜잭션 비동기 메시지 처리 및 High Preformence Api 제공

∙ Java & Spring 기반 웹서비스 개발 경험
∙ Spring Framework 구조 이해 및 개발 역량
∙ RESTful API 에 대한 높은 이해와 개발 경험
∙ PostgreSql, MySQL 등의 DB 구조 설계 및 SQL 개발 역량
∙ 탄탄한 전산 기초 지식(자료구조, 알고리즘, 운영체제 (Operating Systems) 객체지향 프로그래밍(OOP) 등)

∙ 코틀린 사용 및 개발 경험
∙ 코드 리뷰 및 페어 프로그래밍에 대한 경험
∙ 애자일 기반의 개발 조직 문화 이해와 경험
∙ Hibernate 등 DB 프레임워크 기반 개발 경험
∙ Linux 플랫폼에서 웹 서비스 개발 및 운영 경험
∙ AI Tool 기반의 개발 경험
프로젝트 문제 정의 및 가설/액션/검증을 통해 논리적인 설계 경험이 있으신 분
메시지 큐 기반의 비동기 인터페이스 기반 개발 경험(RabbitMQ, Kafka)"
스테이폴리오,백엔드 개발자[Ruby on Rails],"• 스테이폴리오 서비스(Ruby on Rails 기반) 백엔드 개발 
(사용자관리 / 예약 관리 시스템 / 결제 시스템 / 외부 예약 시스템 연동)
• 스테이폴리오 호스트서비스 백엔드 개발
• 데이터 연동 및 분석

• 백앤드 6년 이상/루비 경력 1년 이상
• Ruby on Rails 개발 경험이 있는 분 (경력 1년 이상)을 찾습니다. 
• Ruby on Rails는 개발 경력이 없어도 관심이 있으시면 지원 가능합니다.
• 자신의 지식을 적극적으로 공유하실 수 있으신 분을 찾습니다.
• 전공자/비전공자 상관없이 지원 가능합니다.

• 하이브리드 앱 개발 경험이 있으신 분이면 더욱 좋습니다.
• AWS 인프라 사용 및 관리 경험이 있으신 분이면 더욱 좋습니다."
디스코,풀스택 개발자,"프롭테크 서비스 개발

[프론트 엔드]
• jQuery, React 기반 웹 애플리케이션 개발

[백엔드]
• Django(Python)을 활용한 서버 개발

[데이터베이스]
• MySQL 관리 및 운영

[기타]
• 데이터베이스 쿼리 최적화 경험
• 반복 작업에 대한 자동화 스크립트 개발
• 비동기 처리에 대한 이해 및 개발 경험 보유자

[있으면 더 좋은 경험]
• Android 및 iOS 플랫폼의 모바일 애플리케이션 개발 경험 보유자
• 공간(Geometry) 데이터 처리 및 관리 경험 보유자
• 결제 모듈 등 제3자(Third Party) 서비스 연동 경험 보유자
• 반복 작업에 대한 자동화 스크립트 개발 및 유지보수 경험 보유자
• 비동기 처리에 대한 이해 및 개발 경험 보유자
• Redis, Lambda, SQS, CDN을 비롯한 AWS 서비스 활용 경험 보유 또는 서버 아키텍처 설계 능력 보유자"
